City,Heur,MaxDist,Stations,RegBikes,Ebikes,Ubikes,Ub,Dist,Cost,Drv,Time[s],,,,,,,,,,,,,,,,,
newyork,SEQ+REG2,100,2237,21386,13298,2527,4483.14,2248.14,2235,50,24087.74,,,,,,,,,,,,,,,,,
newyork,SEQ+REG3,100,2237,21386,13298,2527,4552.92,2375.92,2177,50,28709.67,,,,,,,,,,,,,,,,,
newyork,ALL,100,2237,21386,13298,2527,4619.21,2483.21,2136,50,35266.97,,,,,,,,,,,,,,,,,
paris,SEQ,50,1452,8804,3666,697,1580.21,1156.21,424,33,11771.6,,,,,,,,,,,,,,,,,
paris,SEQ+REG2,50,1452,8804,3666,697,1427.89,1427.89,0,50,15993.67,,,,,,,,,,,,,,,,,
paris,SEQ+REG3,50,1452,8804,3666,697,1438.12,1438.12,0,49,22867.49,,,,,,,,,,,,,,,,,
paris,ALL,50,1452,8804,3666,697,1434.73,1434.73,0,49,19551.35,,,,,,,,,,,,,,,,,
paris,SEQ,60,1452,8804,3666,697,1530.83,1145.83,385,34,14415.2,,,,,,,,,,,,,,,,,
paris,SEQ+REG2,60,1452,8804,3666,697,1422.12,1422.12,0,49,16607.81,,,,,,,,,,,,,,,,,
paris,SEQ+REG3,60,1452,8804,3666,697,1406.18,1406.18,0,50,21051.96,,,,,,,,,,,,,,,,,
paris,ALL,60,1452,8804,3666,697,1447.19,1447.19,0,49,22992.67,,,,,,,,,,,,,,,,,
paris,SEQ,70,1452,8804,3666,697,1538.54,1123.54,415,34,12971.62,,,,,,,,,,,,,,,,,
paris,SEQ+REG2,70,1452,8804,3666,697,1468.04,1468.04,0,50,16981.61,,,,,,,,,,,,,,,,,
paris,SEQ+REG3,70,1452,8804,3666,697,1434.25,1434.25,0,49,24070.89,,,,,,,,,,,,,,,,,
paris,ALL,70,1452,8804,3666,697,1412.61,1412.61,0,49,23058,,,,,,,,,,,,,,,,,
paris,SEQ,80,1452,8804,3666,697,1557.39,1104.39,453,32,16464.03,,,,,,,,,,,,,,,,,
paris,SEQ+REG2,80,1452,8804,3666,697,1440.89,1440.89,0,48,17899.21,,,,,,,,,,,,,,,,,
paris,SEQ+REG3,80,1452,8804,3666,697,1413.64,1413.64,0,49,22272.91,,,,,,,,,,,,,,,,,
paris,ALL,80,1452,8804,3666,697,1414.71,1414.71,0,49,22888.25,,,,,,,,,,,,,,,,,
paris,SEQ,90,1452,8804,3666,697,1685.76,1082.76,603,30,17187.18,,,,,,,,,,,,,,,,,
paris,SEQ+REG2,90,1452,8804,3666,697,1426.56,1425.56,1,49,17620.97,,,,,,,,,,,,,,,,,
paris,SEQ+REG3,90,1452,8804,3666,697,1418.38,1418.38,0,49,21985.39,,,,,,,,,,,,,,,,,
paris,ALL,90,1452,8804,3666,697,1415.82,1415.82,0,48,22374.62,,,,,,,,,,,,,,,,,
paris,SEQ,100,1452,8804,3666,697,1604.78,1096.78,508,31,18210.63,,,,,,,,,,,,,,,,,
paris,SEQ+REG2,100,1452,8804,3666,697,1439.78,1439.78,0,50,19221,,,,,,,,,,,,,,,,,
paris,SEQ+REG3,100,1452,8804,3666,697,1432.62,1432.62,0,49,24567.87,,,,,,,,,,,,,,,,,
paris,ALL,100,1452,8804,3666,697,1397.61,1397.61,0,49,22492.95,,,,,,,,,,,,,,,,,
toronto,SEQ,50,914,5528,407,69,768.194,746.194,22,33,6512.27,,,,,,,,,,,,,,,,,
toronto,SEQ+REG2,50,914,5528,407,69,755.654,755.654,0,34,11514.16,,,,,,,,,,,,,,,,,
toronto,SEQ+REG3,50,914,5528,407,69,746.017,746.017,0,31,13948.81,,,,,,,,,,,,,,,,,
toronto,ALL,50,914,5528,407,69,749.085,749.085,0,32,14236.68,,,,,,,,,,,,,,,,,
toronto,SEQ,60,914,5528,407,69,807.951,721.951,86,24,10148.76,,,,,,,,,,,,,,,,,
toronto,SEQ+REG2,60,914,5528,407,69,728.442,728.442,0,28,14495.51,,,,,,,,,,,,,,,,,
toronto,SEQ+REG3,60,914,5528,407,69,707.789,707.789,0,29,19100.97,,,,,,,,,,,,,,,,,
toronto,ALL,60,914,5528,407,69,723.286,723.286,0,31,20499.24,,,,,,,,,,,,,,,,,
toronto,SEQ,70,914,5528,407,69,803.316,677.316,126,23,10201.01,,,,,,,,,,,,,,,,,
toronto,SEQ+REG2,70,914,5528,407,69,712.393,712.393,0,30,16625.35,,,,,,,,,,,,,,,,,
toronto,SEQ+REG3,70,914,5528,407,69,720.005,720.005,0,28,20400.19,,,,,,,,,,,,,,,,,
toronto,ALL,70,914,5528,407,69,713.716,713.716,0,28,22424.52,,,,,,,,,,,,,,,,,
toronto,SEQ,80,914,5528,407,69,849.225,674.225,175,21,14039.63,,,,,,,,,,,,,,,,,
toronto,SEQ+REG2,80,914,5528,407,69,722.629,722.629,0,28,17164.57,,,,,,,,,,,,,,,,,
toronto,SEQ+REG3,80,914,5528,407,69,711.556,711.556,0,30,18406.6,,,,,,,,,,,,,,,,,
toronto,ALL,80,914,5528,407,69,709.608,709.608,0,28,23012.77,,,,,,,,,,,,,,,,,
toronto,SEQ,90,914,5528,407,69,874.83,641.83,233,19,13084.18,,,,,,,,,,,,,,,,,
toronto,SEQ+REG2,90,914,5528,407,69,709.885,709.885,0,29,15117.02,,,,,,,,,,,,,,,,,
toronto,SEQ+REG3,90,914,5528,407,69,740.767,740.767,0,28,21300.9,,,,,,,,,,,,,,,,,
toronto,ALL,90,914,5528,407,69,713.031,712.031,1,29,20195.18,,,,,,,,,,,,,,,,,
toronto,SEQ,100,914,5528,407,69,862.383,629.383,233,19,14200.23,,,,,,,,,,,,,,,,,
