City,Heur,MaxDist,Stations,RegBikes,Ebikes,Ubikes,Ub,Dist,Cost,Drv,Time[s],,,,,,,,,,,,,,,,,
paris,SEQ+REG2,75,1452,8804,3666,697,1409.08,1409.08,0,49,17565.8,,,,,,,,,,,,,,,,,
paris,ALL,75,1452,8804,3666,697,1411.85,1411.85,0,49,21836.84,,,,,,,,,,,,,,,,,
toronto,SEQ,50,914,5528,407,69,768.194,746.194,22,33,6512.27,,,,,,,,,,,,,,,,,
toronto,SEQ+REG3,50,914,5528,407,69,746.017,746.017,0,31,13948.81,,,,,,,,,,,,,,,,,
toronto,SEQ+REG2,50,914,5528,407,69,755.654,755.654,0,34,11514.16,,,,,,,,,,,,,,,,,
toronto,ALL,50,914,5528,407,69,749.085,749.085,0,32,14236.68,,,,,,,,,,,,,,,,,
toronto,SEQ,55,914,5528,407,69,810.905,718.905,92,27,8656.06,,,,,,,,,,,,,,,,,
toronto,SEQ+REG3,55,914,5528,407,69,726.477,726.477,0,30,18419.52,,,,,,,,,,,,,,,,,
toronto,SEQ+REG2,55,914,5528,407,69,722.39,722.39,0,30,17433.27,,,,,,,,,,,,,,,,,
toronto,ALL,55,914,5528,407,69,739.039,738.039,1,30,16945.74,,,,,,,,,,,,,,,,,
toronto,SEQ,60,914,5528,407,69,807.951,721.951,86,24,10148.76,,,,,,,,,,,,,,,,,
toronto,SEQ+REG3,60,914,5528,407,69,707.789,707.789,0,29,19100.97,,,,,,,,,,,,,,,,,
toronto,SEQ+REG2,60,914,5528,407,69,728.442,728.442,0,28,14495.51,,,,,,,,,,,,,,,,,
toronto,ALL,60,914,5528,407,69,723.286,723.286,0,31,20499.24,,,,,,,,,,,,,,,,,
toronto,SEQ,65,914,5528,407,69,837.839,706.839,131,22,12877.1,,,,,,,,,,,,,,,,,
toronto,SEQ+REG3,65,914,5528,407,69,711.632,711.632,0,29,19620.92,,,,,,,,,,,,,,,,,
toronto,SEQ+REG2,65,914,5528,407,69,723.581,723.581,0,30,14860.05,,,,,,,,,,,,,,,,,
